game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
200810290SAS,2009,SAS,PHO,0,5,Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,13,0,3,12,3,1,0,3,1,1,8,6,2,0,6,0.23076923076923078,0.25,0.0,8,0,3,5,1,3,2,0,0,1,9,8,1,1,8,0.375,0.2,0.6666666666666666,-1
200810290SAS,2009,SAS,PHO,6,7,Bruce Bowen,Matt Bonner,Michael Finley,Tim Duncan,Tony Parker,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,3,0,1,3,1,0,0,0,0,0,1,1,0,0,2,0.3333333333333333,0.3333333333333333,0.0,3,2,0,2,0,1,0,0,0,0,4,2,2,1,0,0.0,0.0,0.0,1
200810290SAS,2009,SAS,PHO,8,8,Bruce Bowen,Jacque Vaughn,Matt Bonner,Michael Finley,Tim Duncan,Amar'e Stoudemire,Boris Diaw,Matt Barnes,Raja Bell,Steve Nash,2,0,1,1,1,1,0,0,0,1,1,0,1,0,2,0.5,1.0,0.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,2,1.0,1.0,0.0,-1
200810290SAS,2009,SAS,PHO,9,10,Ime Udoka,Jacque Vaughn,Matt Bonner,Roger Mason,Tim Duncan,Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,3,0,2,3,2,0,0,1,0,0,2,2,0,0,4,0.6666666666666666,0.6666666666666666,0.0,6,1,1,6,1,0,0,0,0,1,4,1,3,0,2,0.16666666666666666,0.16666666666666666,0.0,1
200810290SAS,2009,SAS,PHO,11,15,Ime Udoka,Kurt Thomas,Matt Bonner,Roger Mason,Tony Parker,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,Robin Lopez,11,0,6,8,4,3,2,2,1,0,9,6,3,2,14,0.5454545454545454,0.5,0.6666666666666666,9,0,3,9,3,0,0,1,1,0,2,2,0,0,6,0.3333333333333333,0.3333333333333333,0.0,1
200810290SAS,2009,SAS,PHO,16,16,Bruce Bowen,Kurt Thomas,Matt Bonner,Roger Mason,Tony Parker,Amar'e Stoudemire,Grant Hill,Leandro Barbosa,Shaquille O'Neal,Steve Nash,2,0,2,2,2,0,0,1,0,0,0,0,0,0,4,1.0,1.0,0.0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,2,1.0,1.0,0.0,1
200810290SAS,2009,SAS,PHO,17,18,Bruce Bowen,Kurt Thomas,Roger Mason,Tim Duncan,Tony Parker,Amar'e Stoudemire,Grant Hill,Leandro Barbosa,Shaquille O'Neal,Steve Nash,2,2,1,2,1,0,0,1,0,1,1,0,1,0,2,0.5,0.5,0.0,3,0,3,1,1,2,2,2,0,0,2,2,0,0,8,1.0,1.0,1.0,-1
200810290SAS,2009,SAS,PHO,19,20,Bruce Bowen,Jacque Vaughn,Matt Bonner,Michael Finley,Tim Duncan,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,4,2,1,4,1,0,0,1,1,1,4,3,1,0,2,0.25,0.25,0.0,2,1,1,2,1,0,0,0,0,0,3,3,0,0,2,0.5,0.5,0.0,-1
200810290SAS,2009,SAS,PHO,21,21,Matt Bonner,Michael Finley,Roger Mason,Tim Duncan,Tony Parker,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,2,0,1,0,0,2,1,0,0,0,0,0,0,0,3,0.5,0.0,0.5,1,0,1,1,1,0,0,1,0,1,1,1,0,0,2,1.0,1.0,0.0,1
200810290SAS,2009,SAS,PHO,22,22,Kurt Thomas,Matt Bonner,Michael Finley,Roger Mason,Tony Parker,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,1,1,1,0,0,1,1,1,0,0,0,0,0,1,3,1.0,0.0,1.0,0,4,0,0,0,0,0,0,0,4,2,0,2,1,0,0.0,0.0,0.0,1
200810290SAS,2009,SAS,PHO,23,24,Ime Udoka,Kurt Thomas,Michael Finley,Roger Mason,Tony Parker,Amar'e Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,4,0,2,3,2,1,0,1,0,0,1,1,0,0,4,0.5,0.6666666666666666,0.0,1,0,0,0,0,1,0,0,0,2,4,2,2,0,0,0.0,0.0,0.0,1
200810290SAS,2009,SAS,PHO,25,28,Bruce Bowen,Kurt Thomas,Michael Finley,Tim Duncan,Tony Parker,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,6,2,4,6,4,0,0,2,0,0,2,2,0,0,8,0.6666666666666666,0.6666666666666666,0.0,3,2,2,3,2,0,0,1,0,1,3,3,0,1,4,0.6666666666666666,0.6666666666666666,0.0,1
200810290SAS,2009,SAS,PHO,29,31,Bruce Bowen,Matt Bonner,Michael Finley,Tim Duncan,Tony Parker,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,4,0,2,3,2,1,0,1,0,0,2,2,0,1,4,0.5,0.6666666666666666,0.0,4,1,3,3,3,1,0,2,0,0,3,2,1,2,6,0.75,1.0,0.0,-1
200810290SAS,2009,SAS,PHO,32,33,Jacque Vaughn,Matt Bonner,Michael Finley,Roger Mason,Tim Duncan,Amar'e Stoudemire,Boris Diaw,Matt Barnes,Raja Bell,Steve Nash,3,2,1,1,0,2,1,1,0,0,2,1,1,0,3,0.3333333333333333,0.0,0.5,4,2,2,4,2,0,0,1,1,0,4,2,2,0,4,0.5,0.5,0.0,-1
200810290SAS,2009,SAS,PHO,34,35,Ime Udoka,Kurt Thomas,Matt Bonner,Roger Mason,Tony Parker,Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,4,2,3,4,3,0,0,0,0,1,2,2,0,0,6,0.75,0.75,0.0,4,0,2,2,1,2,1,2,0,1,1,1,0,1,5,0.5,0.5,0.5,1
200810290SAS,2009,SAS,PHO,36,36,Ime Udoka,Kurt Thomas,Matt Bonner,Roger Mason,Tony Parker,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,Robin Lopez,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.0,0.0,0.0,2,0,1,2,1,0,0,1,1,0,0,0,0,0,2,0.5,0.5,0.0,-1
200810290SAS,2009,SAS,PHO,37,39,Ime Udoka,Jacque Vaughn,Kurt Thomas,Roger Mason,Tim Duncan,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,Robin Lopez,5,2,4,5,4,0,0,2,0,1,2,1,1,1,8,0.8,0.8,0.0,3,2,2,3,2,0,0,1,0,1,1,0,1,1,4,0.6666666666666666,0.6666666666666666,0.0,1
200810290SAS,2009,SAS,PHO,40,41,Jacque Vaughn,Matt Bonner,Michael Finley,Roger Mason,Tim Duncan,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,2,2,1,1,1,1,0,0,0,0,1,1,0,0,2,0.5,1.0,0.0,4,0,2,2,1,2,1,1,0,0,2,1,1,0,5,0.5,0.5,0.5,-1
200810290SAS,2009,SAS,PHO,42,42,Matt Bonner,Michael Finley,Roger Mason,Tim Duncan,Tony Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,2,0,2,2,2,0,0,1,0,0,0,0,0,0,4,1.0,1.0,0.0,-1
200810290SAS,2009,SAS,PHO,43,44,Bruce Bowen,Matt Bonner,Michael Finley,Tim Duncan,Tony Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,3,2,2,3,2,0,0,1,0,0,1,1,0,0,4,0.6666666666666666,0.6666666666666666,0.0,2,0,1,2,1,0,0,0,0,1,2,2,0,0,2,0.5,0.5,0.0,1
200810290SAS,2009,SAS,PHO,45,45,Matt Bonner,Michael Finley,Roger Mason,Tim Duncan,Tony Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,0,1,1,1,0,0,0,0,0,0,0,0,1,2,1.0,1.0,0.0,2,1,2,2,2,0,0,2,0,0,0,0,0,0,4,1.0,1.0,0.0,-1
200810290SAS,2009,SAS,PHO,46,46,Kurt Thomas,Michael Finley,Roger Mason,Tim Duncan,Tony Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0.0,2,0,1,1,1,1,0,0,0,1,1,0,1,0,2,0.5,1.0,0.0,-1
200810290SAS,2009,SAS,PHO,47,47,Matt Bonner,Michael Finley,Roger Mason,Tim Duncan,Tony Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shaquille O'Neal,Steve Nash,3,0,0,1,0,2,0,0,0,0,3,2,1,0,0,0.0,0.0,0.0,2,2,0,0,0,2,0,0,0,1,2,2,0,0,0,0.0,0.0,0.0,-1
200810300PHO,2009,PHO,NOP,0,7,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,Chris Paul,David West,Hilton Armstrong,Morris Peterson,Peja Stojakovic,10,2,5,7,3,3,2,4,1,0,7,6,1,3,12,0.5,0.42857142857142855,0.6666666666666666,15,3,8,12,6,3,2,3,0,1,8,7,1,1,18,0.5333333333333333,0.5,0.6666666666666666,-1
200810300PHO,2009,PHO,NOP,8,8,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,David West,Hilton Armstrong,Mike James,Morris Peterson,Peja Stojakovic,1,0,1,0,0,1,1,1,0,0,0,0,0,0,3,1.0,0.0,1.0,4,0,2,3,1,1,1,1,0,0,2,0,2,0,5,0.5,0.3333333333333333,1.0,-1
200810300PHO,2009,PHO,NOP,9,9,Amar'e Stoudemire,Boris Diaw,Matt Barnes,Raja Bell,Steve Nash,David West,Hilton Armstrong,James Posey,Mike James,Peja Stojakovic,2,0,1,2,1,0,0,0,1,0,0,0,0,0,2,0.5,0.5,0.0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,2,1.0,1.0,0.0,-1
200810300PHO,2009,PHO,NOP,10,12,Amar'e Stoudemire,Boris Diaw,Grant Hill,Leandro Barbosa,Steve Nash,David West,James Posey,Melvin Ely,Mike James,Peja Stojakovic,1,2,0,0,0,1,0,0,0,1,5,4,1,3,0,0.0,0.0,0.0,5,2,1,4,1,1,0,0,0,2,3,1,2,0,2,0.2,0.25,0.0,-1
200810300PHO,2009,PHO,NOP,13,14,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,Robin Lopez,Devin Brown,James Posey,Melvin Ely,Mike James,Rasual Butler,3,0,1,2,1,1,0,1,1,0,2,2,0,1,2,0.3333333333333333,0.5,0.0,2,4,1,2,1,0,0,1,1,0,2,2,0,0,2,0.5,0.5,0.0,-1
200810300PHO,2009,PHO,NOP,15,17,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,Lou Amundson,Chris Paul,Devin Brown,James Posey,Melvin Ely,Rasual Butler,2,3,0,1,0,1,0,0,0,0,4,3,1,4,0,0.0,0.0,0.0,4,0,1,3,1,1,0,1,0,0,1,1,0,2,2,0.25,0.3333333333333333,0.0,-1
200810300PHO,2009,PHO,NOP,18,20,Amar'e Stoudemire,Grant Hill,Leandro Barbosa,Shaquille O'Neal,Steve Nash,Chris Paul,David West,Devin Brown,James Posey,Peja Stojakovic,4,0,1,1,1,3,0,0,0,0,2,1,1,0,2,0.25,1.0,0.0,5,4,4,3,2,2,2,2,0,1,4,3,1,1,10,0.8,0.6666666666666666,1.0,-1
200810300PHO,2009,PHO,NOP,21,22,Amar'e Stoudemire,Leandro Barbosa,Matt Barnes,Shaquille O'Neal,Steve Nash,Chris Paul,David West,Hilton Armstrong,Morris Peterson,Peja Stojakovic,4,0,3,3,3,1,0,1,0,1,3,0,3,0,6,0.75,1.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,2,1.0,1.0,0.0,1
200810300PHO,2009,PHO,NOP,23,24,Amar'e Stoudemire,Leandro Barbosa,Matt Barnes,Shaquille O'Neal,Steve Nash,Chris Paul,David West,Melvin Ely,Morris Peterson,Peja Stojakovic,3,2,2,3,2,0,0,0,0,2,3,2,1,2,4,0.6666666666666666,0.6666666666666666,0.0,4,2,1,3,0,1,1,0,0,1,1,0,1,0,3,0.25,0.0,1.0,1
200810300PHO,2009,PHO,NOP,25,30,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,Chris Paul,David West,Hilton Armstrong,Morris Peterson,Peja Stojakovic,10,3,5,7,4,3,1,2,1,0,6,4,2,3,11,0.5,0.5714285714285714,0.3333333333333333,10,4,5,7,4,3,1,1,0,2,5,3,2,3,11,0.5,0.5714285714285714,0.3333333333333333,-1
200810300PHO,2009,PHO,NOP,31,32,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,Chris Paul,David West,Melvin Ely,Morris Peterson,Peja Stojakovic,3,0,1,3,1,0,0,0,0,0,2,2,0,1,2,0.3333333333333333,0.3333333333333333,0.0,4,0,2,1,1,3,1,2,0,0,2,2,0,0,5,0.5,1.0,0.3333333333333333,-1
200810300PHO,2009,PHO,NOP,33,33,Amar'e Stoudemire,Boris Diaw,Matt Barnes,Raja Bell,Steve Nash,Chris Paul,David West,Melvin Ely,Morris Peterson,Peja Stojakovic,1,0,1,0,0,1,1,1,0,0,0,0,0,0,3,1.0,0.0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0.0,1
200810300PHO,2009,PHO,NOP,34,35,Amar'e Stoudemire,Boris Diaw,Matt Barnes,Raja Bell,Steve Nash,Chris Paul,David West,James Posey,Melvin Ely,Peja Stojakovic,4,0,2,4,2,0,0,2,0,0,2,1,1,0,4,0.5,0.5,0.0,4,0,2,4,2,0,0,1,0,0,2,1,1,1,4,0.5,0.5,0.0,-1
200810300PHO,2009,PHO,NOP,36,36,Amar'e Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Chris Paul,David West,James Posey,Melvin Ely,Peja Stojakovic,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,-1
200810300PHO,2009,PHO,NOP,37,37,Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Raja Bell,Chris Paul,David West,James Posey,Melvin Ely,Rasual Butler,1,0,1,1,1,0,0,0,0,0,1,1,0,1,2,1.0,1.0,0.0,2,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,1
200810300PHO,2009,PHO,NOP,38,39,Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,Chris Paul,David West,James Posey,Melvin Ely,Rasual Butler,2,2,2,2,2,0,0,0,0,0,2,2,0,0,4,1.0,1.0,0.0,3,2,0,2,0,1,0,0,1,0,2,1,1,1,0,0.0,0.0,0.0,1
200810300PHO,2009,PHO,NOP,40,40,Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,David West,James Posey,Mike James,Peja Stojakovic,Rasual Butler,2,0,2,2,2,0,0,1,0,1,1,1,0,0,4,1.0,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
200810300PHO,2009,PHO,NOP,41,42,Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,David West,James Posey,Mike James,Morris Peterson,Rasual Butler,1,2,1,1,1,0,0,0,0,0,1,0,1,0,2,1.0,1.0,0.0,4,0,2,1,0,3,2,1,0,0,2,0,2,0,6,0.5,0.0,0.6666666666666666,-1
200810300PHO,2009,PHO,NOP,43,44,Amar'e Stoudemire,Boris Diaw,Grant Hill,Leandro Barbosa,Steve Nash,Chris Paul,David West,James Posey,Morris Peterson,Rasual Butler,3,0,2,3,2,0,0,0,1,0,2,1,1,1,4,0.6666666666666666,0.6666666666666666,0.0,4,0,3,1,1,3,2,2,0,0,0,0,0,0,8,0.75,1.0,0.6666666666666666,-1
200810300PHO,2009,PHO,NOP,45,47,Amar'e Stoudemire,Boris Diaw,Grant Hill,Raja Bell,Steve Nash,Chris Paul,David West,James Posey,Morris Peterson,Rasual Butler,6,0,3,3,1,3,2,1,0,0,3,2,1,2,8,0.5,0.3333333333333333,0.6666666666666666,4,7,2,2,1,2,1,1,0,3,3,2,1,0,5,0.5,0.5,0.5,1
200811010PHO,2009,PHO,POR,0,8,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Steve Blake,Travis Outlaw,11,0,9,7,5,4,4,5,1,2,6,5,1,0,22,0.8181818181818182,0.7142857142857143,1.0,17,0,8,15,7,2,1,3,0,0,7,3,4,1,17,0.47058823529411764,0.4666666666666667,0.5,1
200811010PHO,2009,PHO,POR,9,10,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Rudy Fernandez,3,0,0,2,0,1,0,0,0,0,3,3,0,1,0,0.0,0.0,0.0,3,0,0,2,0,1,0,0,0,0,3,3,0,0,0,0.0,0.0,0.0,-1
200811010PHO,2009,PHO,POR,11,11,Amar'e Stoudemire,Boris Diaw,Matt Barnes,Raja Bell,Steve Nash,Brandon Roy,Channing Frye,Nicolas Batum,Rudy Fernandez,Travis Outlaw,3,0,1,2,1,1,0,0,0,0,2,0,2,1,2,0.3333333333333333,0.5,0.0,1,4,1,1,1,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0.0,-1
200811010PHO,2009,PHO,POR,12,12,Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,Brandon Roy,Channing Frye,Nicolas Batum,Rudy Fernandez,Travis Outlaw,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,2,1.0,1.0,0.0,-1
200811010PHO,2009,PHO,POR,13,15,Amar'e Stoudemire,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,Channing Frye,Nicolas Batum,Rudy Fernandez,Sergio Rodriguez,Travis Outlaw,3,2,1,2,1,1,0,1,0,1,3,2,1,2,2,0.3333333333333333,0.5,0.0,8,0,4,8,4,0,0,2,2,0,4,2,2,1,8,0.5,0.5,0.0,-1
200811010PHO,2009,PHO,POR,16,18,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,Lou Amundson,Channing Frye,Nicolas Batum,Rudy Fernandez,Sergio Rodriguez,Travis Outlaw,3,3,1,3,1,0,0,0,0,0,1,0,1,2,2,0.3333333333333333,0.3333333333333333,0.0,5,0,5,3,3,2,2,2,0,1,1,1,0,0,12,1.0,1.0,1.0,-1
200811010PHO,2009,PHO,POR,19,19,Amar'e Stoudemire,Boris Diaw,Grant Hill,Leandro Barbosa,Steve Nash,Channing Frye,Nicolas Batum,Rudy Fernandez,Sergio Rodriguez,Travis Outlaw,2,0,1,2,1,0,0,1,0,0,2,1,1,1,2,0.5,0.5,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
200811010PHO,2009,PHO,POR,20,20,Amar'e Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,Channing Frye,Nicolas Batum,Rudy Fernandez,Sergio Rodriguez,Travis Outlaw,1,0,1,1,1,0,0,0,0,0,2,2,0,0,2,1.0,1.0,0.0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
200811010PHO,2009,PHO,POR,21,22,Amar'e Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Rudy Fernandez,Steve Blake,5,0,2,5,2,0,0,1,1,1,2,1,1,0,4,0.4,0.4,0.0,2,0,1,2,1,0,0,0,0,0,2,2,0,2,2,0.5,0.5,0.0,1
200811010PHO,2009,PHO,POR,23,23,Amar'e Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Steve Blake,Travis Outlaw,1,0,0,0,0,1,0,0,0,1,2,1,1,1,0,0.0,0.0,0.0,2,0,1,1,0,1,1,0,0,0,0,0,0,1,3,0.5,0.0,1.0,-1
200811010PHO,2009,PHO,POR,24,24,Amar'e Stoudemire,Grant Hill,Raja Bell,Shaquille O'Neal,Steve Nash,Brandon Roy,Ike Diogu,Joel Przybilla,Steve Blake,Travis Outlaw,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0.0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,3,1.0,0.0,1.0,-1
200811010PHO,2009,PHO,POR,25,34,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Steve Blake,Travis Outlaw,13,5,9,11,9,2,0,2,0,4,8,8,0,2,18,0.6923076923076923,0.8181818181818182,0.0,14,4,6,10,4,4,2,4,0,2,7,6,1,4,14,0.42857142857142855,0.4,0.5,1
200811010PHO,2009,PHO,POR,35,36,Amar'e Stoudemire,Boris Diaw,Leandro Barbosa,Matt Barnes,Raja Bell,Brandon Roy,Channing Frye,Nicolas Batum,Rudy Fernandez,Sergio Rodriguez,3,5,2,1,1,2,1,2,0,1,4,1,3,0,5,0.6666666666666666,1.0,0.5,5,0,2,4,2,1,0,0,0,0,2,0,2,0,4,0.4,0.5,0.0,1
200811010PHO,2009,PHO,POR,37,37,Amar'e Stoudemire,Boris Diaw,Grant Hill,Leandro Barbosa,Matt Barnes,Brandon Roy,Channing Frye,Nicolas Batum,Rudy Fernandez,Sergio Rodriguez,2,0,1,2,1,0,0,0,0,1,1,1,0,0,2,0.5,0.5,0.0,2,2,0,1,0,1,0,0,0,0,2,1,1,0,0,0.0,0.0,0.0,1
200811010PHO,2009,PHO,POR,38,39,Amar'e Stoudemire,Boris Diaw,Grant Hill,Leandro Barbosa,Matt Barnes,Channing Frye,Nicolas Batum,Rudy Fernandez,Sergio Rodriguez,Travis Outlaw,1,2,1,1,1,0,0,1,0,1,3,3,0,1,2,1.0,1.0,0.0,4,0,1,4,1,0,0,0,0,0,0,0,0,0,2,0.25,0.25,0.0,-1
200811010PHO,2009,PHO,POR,40,40,Amar'e Stoudemire,Boris Diaw,Grant Hill,Leandro Barbosa,Matt Barnes,Brandon Roy,Channing Frye,Nicolas Batum,Rudy Fernandez,Sergio Rodriguez,2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0.0,0.0,0.0,-1
200811010PHO,2009,PHO,POR,41,44,Boris Diaw,Grant Hill,Leandro Barbosa,Matt Barnes,Shaquille O'Neal,Brandon Roy,Jerryd Bayless,Joel Przybilla,LaMarcus Aldridge,Steve Blake,3,2,0,1,0,2,0,0,0,1,3,3,0,1,0,0.0,0.0,0.0,5,2,2,2,2,3,0,1,0,0,3,3,0,1,4,0.4,1.0,0.0,-1
200811010PHO,2009,PHO,POR,45,46,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,Brandon Roy,Jerryd Bayless,LaMarcus Aldridge,Steve Blake,Travis Outlaw,3,0,2,1,1,2,1,1,0,1,0,0,0,0,5,0.6666666666666666,1.0,0.5,4,2,3,2,1,2,2,3,0,0,2,1,1,0,8,0.75,0.5,1.0,-1
200811010PHO,2009,PHO,POR,47,47,Amar'e Stoudemire,Boris Diaw,Matt Barnes,Raja Bell,Steve Nash,Brandon Roy,LaMarcus Aldridge,Rudy Fernandez,Steve Blake,Travis Outlaw,0,6,0,0,0,0,0,0,0,3,2,2,0,0,0,0.0,0.0,0.0,3,0,1,2,1,1,0,1,0,0,0,0,0,0,2,0.3333333333333333,0.5,0.0,-1
200811040NJN,2009,NJN,PHO,0,6,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,Amar'e Stoudemire,Matt Barnes,Raja Bell,Shaquille O'Neal,Steve Nash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200811040NJN,2009,NJN,PHO,7,7,Bobby Simmons,Devin Harris,Josh Boone,Vince Carter,Yi Jianlian,Amar'e Stoudemire,Goran Dragic,Matt Barnes,Raja Bell,Shaquille O'Neal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200811040NJN,2009,NJN,PHO,8,8,Brook Lopez,Devin Harris,Jarvis Hayes,Vince Carter,Yi Jianlian,Amar'e Stoudemire,Goran Dragic,Matt Barnes,Raja Bell,Robin Lopez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200811040NJN,2009,NJN,PHO,9,10,Brook Lopez,Jarvis Hayes,Keyon Dooling,Ryan Anderson,Vince Carter,Amar'e Stoudemire,Goran Dragic,Grant Hill,Raja Bell,Robin Lopez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200811040NJN,2009,NJN,PHO,11,12,Brook Lopez,Chris Douglas-Roberts,Jarvis Hayes,Keyon Dooling,Ryan Anderson,Amar'e Stoudemire,Goran Dragic,Grant Hill,Leandro Barbosa,Robin Lopez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200811040NJN,2009,NJN,PHO,13,14,Brook Lopez,Chris Douglas-Roberts,Jarvis Hayes,Keyon Dooling,Ryan Anderson,Boris Diaw,Goran Dragic,Grant Hill,Leandro Barbosa,Robin Lopez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200811040NJN,2009,NJN,PHO,15,16,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Jarvis Hayes,Ryan Anderson,Boris Diaw,Grant Hill,Leandro Barbosa,Shaquille O'Neal,Steve Nash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
